Id,Ref.,Base price,Price Level,PriceLevelUnitPriceHT,PriceLevelUnitPriceTTC,MinPriceLevelUnitPriceHT,MinPriceLevelUnitPriceTTC,PriceLevelVATRate,Creation date,
247,10668-07532,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
247,10668-07532,HT,4,9.00000000,9.00000000,,,0.000,2023-05-19 00:00:00,
247,10668-07532,HT,5,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
247,10668-07532,HT,6,8.00000000,8.00000000,0.00000000,0.00000000,0.000,2023-06-16 14:04:52,
257,10668-30100,HT,1,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
257,10668-30100,HT,2,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
257,10668-30100,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
257,10668-30100,HT,4,9.00000000,9.00000000,,,0.000,2023-05-19 00:00:00,
257,10668-30100,HT,5,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
257,10668-30100,HT,1,7.00000000,7.00000000,0.00000000,0.00000000,0.000,2023-06-16 14:04:52,
257,10668-30100,HT,6,8.00000000,8.00000000,,,0.000,2023-08-09 23:17:50,
258,10668-30101,HT,1,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
258,10668-30101,HT,2,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
258,10668-30101,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
258,10668-30101,HT,4,9.00000000,9.00000000,,,0.000,2023-05-19 00:00:00,
258,10668-30101,HT,5,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
258,10668-30101,HT,1,7.00000000,7.00000000,0.00000000,0.00000000,0.000,2023-06-16 14:04:53,
258,10668-30101,HT,6,8.00000000,8.00000000,,,0.000,2023-08-09 23:17:50,
255,10668-30104,HT,1,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
255,10668-30104,HT,2,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
255,10668-30104,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
255,10668-30104,HT,4,9.00000000,9.00000000,,,0.000,2023-05-19 00:00:00,
255,10668-30104,HT,5,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
255,10668-30104,HT,1,7.00000000,7.00000000,0.00000000,0.00000000,0.000,2023-06-16 14:04:53,
255,10668-30104,HT,6,8.00000000,8.00000000,,,0.000,2023-08-09 23:17:50,
256,10668-30105,HT,1,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
256,10668-30105,HT,2,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
256,10668-30105,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
256,10668-30105,HT,4,9.00000000,9.00000000,,,0.000,2023-05-19 00:00:00,
256,10668-30105,HT,5,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
256,10668-30105,HT,1,7.00000000,7.00000000,0.00000000,0.00000000,0.000,2023-06-16 14:04:54,
256,10668-30105,HT,6,8.00000000,8.00000000,,,0.000,2023-08-09 23:17:50,
254,10668-30108,HT,1,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
254,10668-30108,HT,2,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
254,10668-30108,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
254,10668-30108,HT,4,9.00000000,9.00000000,,,0.000,2023-05-19 00:00:00,
254,10668-30108,HT,5,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
254,10668-30108,HT,1,7.00000000,7.00000000,0.00000000,0.00000000,0.000,2023-06-16 14:04:54,
254,10668-30108,HT,6,8.00000000,8.00000000,,,0.000,2023-08-09 23:17:50,
259,10668-30109,HT,1,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
259,10668-30109,HT,2,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
259,10668-30109,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
259,10668-30109,HT,4,9.00000000,9.00000000,,,0.000,2023-05-19 00:00:00,
259,10668-30109,HT,5,7.00000000,7.00000000,,,0.000,2023-05-19 00:00:00,
259,10668-30109,HT,1,7.00000000,7.00000000,0.00000000,0.00000000,0.000,2023-06-16 14:04:54,
259,10668-30109,HT,6,8.00000000,8.00000000,,,0.000,2023-08-09 23:17:50,
343,12KT,HT,1,0.45000000,0.45000000,,,0.000,2023-05-19 00:00:00,
343,12KT,HT,2,5.10000000,5.10000000,,,0.000,2023-05-19 00:00:00,
343,12KT,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
343,12KT,HT,4,7.10000000,7.10000000,,,0.000,2023-05-19 00:00:00,
343,12KT,HT,5,5.10000000,5.10000000,,,0.000,2023-05-19 00:00:00,
343,12KT,HT,6,1.45000000,1.45000000,,,0.000,2023-08-09 23:17:50,
343,12KT,HT,1,0.45000000,0.45000000,0.00000000,0.00000000,0.000,2023-08-21 14:51:12,
343,12KT,HT,2,0.45000000,0.45000000,0.00000000,0.00000000,0.000,2023-08-21 14:52:21,
343,12KT,HT,3,0.45000000,0.45000000,0.00000000,0.00000000,0.000,2023-08-21 14:52:21,
343,12KT,HT,4,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-21 14:52:21,
343,12KT,HT,5,0.45000000,0.45000000,0.00000000,0.00000000,0.000,2023-08-21 14:52:21,
343,12KT,HT,6,0.45000000,0.45000000,0.00000000,0.00000000,0.000,2023-08-21 14:52:21,
